GAME10	[Event "Game 11, 3-Move WCM"]	[Black "R. King"]	[White "A. Moiseyev"]	[Result "1/2-1/2"]	[Date "2005, 5/25"]	11-15 23-19 8-11 22-17  4-8 25-22  9-13 27-23  6-9 23-18  9-14 18x9  5x14 26-23 1-6 30-25  15-18 22x15  11x27 32x23  13x22 25x9  6x13 29-25 13-17 21x14  10x17 19-16  12x26 31x13  8-11 24-19  11-15 19x10 7x14 13-9  14-18 25-21  18-23 21-17  23-27 17-13  2-7 9-6  27-32 6-2  7-11 2-6  32-27   1/2-1/2 
GAME11	[Event "Game 12, 3-Move WCM"]	[Black "A. Moiseyev"]	[White "R. King"]	[Result "1/2-1/2"]	[Date "2005, 5/25"]	11-15 23-19  8-11 27-23  9-13 22-18 15x22 25x18  10-15 19x10  6x22 26x17  13x22 30-26  5-9 26x17  7-10 29-25  11-15 32-27  9-13 17-14  10x17 21x14  13-17 25-22  17x26 31x22  12-16 23-18  15-19 24x15  16-19 22-17  19-23 27-24  23-26 15-10  26-31 10-6  1x10 14x7  2x11 18-14  31-26 17-13  26-23 24-20  11-15 14-9  23-18 9-5  15-19 13-9  19-23 9-6  23-26 6-2 18-15 5-1  26-31 2-6  15-11 6-10  31-26 1-6  4-8 10-14  26-23 6-10  23-19 14-18  8-12 18-14  19-23 14-9  23-26 9-14   1/2-1/2 
GAME12	[Event "Game 13, 3-Move WCM"]	[Black "R. King"]	[White "A. Moiseyev"]	[Result "1/2-1/2"]	[Date "2005, 5/26"]	12-16 22-18  16-20 18-14  9x18 23x14  10x17 21x14  6-9 26-23  9x18 23x14 1-6 30-26  11-15 24-19  15x24 28x19  8-11 25-22  4-8 29-25 8-12 26-23  6-10 31-26  10x17 22x13  11-16 26-22  7-10 25-21 5-9 13x6  2x9 22-18  10-14 18-15  9-13 15-11  13-17 19-15  16-19 23x16  12x19 15-10  17-22 10-6  14-18 6-1  19-24   1/2-1/2 
GAME13	[Event "Game 14, 3-Move WCM"]	[Black "A. Moiseyev"]	[White "R. King"]	[Result "1-0"]	[Date "2005, 5/26"]	12-16 22-18 16-20 24-19  11-15 18x11  8x24 28x19  4-8 25-22  8-11 23-18  9-13 29-25  10-15 19x10  6x15 21-17  5-9 25-21  1-5 32-28  3-8 27-24 20x27 31x24  7-10 17-14  10x17 21x14  13-17 22x6  15x31 6-1 31-27 24-20  8-12 30-26  11-15 14-10  15-18 26-23  18-22 23-19 22-26 19-15  26-30 15-11  30-26 11-8  26-23 28-24  23-18 8-3 27-32 24-19  18-15 19-16  12x19 3-8  15x6 1x10  19-23 8-11 23-26 11-15  32-27 20-16  26-30 10-14  27-23 16-11  2-6 11-7 6-9 14-17  9-13 17-21  30-26 7-2  26-22 2-6  23-18 21-25  22x29 15x22  5-9 22-18  29-25 6-1  13-17 1-6  9-13 6-9  17-21   1-0 
GAME14	[Event "Game 15, 3-Move WCM"]	[Black "A. Moiseyev"]	[White "R. King"]	[Result "1/2-1/2"]	[Date "2005, 5/26"]	10-14 24-19  11-16 28-24  7-10 22-17  16-20 32-28  9-13 25-22  5-9 19-15  10x19 24x15  6-10 15x6  1x10 23-19  8-11 30-25  11-15 27-23 15x24 28x19  4-8 19-15  10x19 23x16  12x19 17x10  19-24 10-6 24-27 31x24  20x27 6-1  3-7 1-6  8-11 6-1  11-15 1-5  27-31 5x14  7-10 14x7  2x11 26-23  31-27 23-18  15-19 18-14  19-23 14-10  23-26 10-7  27-23 7-3  26-30 3-7  11-16 7-10  16-20 10-14 23-26 22-18  26-23 18-15  20-24 15-10  24-28 10-6  28-32 6-1 32-27 1-5  27-24 14-10  24-19 5-9  23-27 9-14  27-23 10-7 19-16 14-10  23-19 7-2  19-23 10-15  16-20 2-7  20-24 7-11  24-27 11-16  27-24 16-12  23-19 15-11  24-27 12-8  27-23 8-3  23-18 11-7  19-15 3-8  18-14 7-11  15-18 8-3  30-26 3-7  26-23 7-2 23-26 11-7  26-23 7-3  23-26 3-7  26-23 7-10  14x7 2x11 23-26 11-16  26-22 16-19  22-26 19-24  26-22 24-27  22-26 27-31 26-22 31-27  22-26 27-24  26-22 24-19  22-26 19-16  26-22 16-11 22-26 11-7  26-22 7-2  22-26 2-7  26-22   1/2-1/2 
GAME15	[Event "Game 16, 3-Move WCM"]	[Black "R. King"]	[White "A. Moiseyev"]	[Result "1/2-1/2"]	[Date "2005, 5/26"]	10-14 24-19  11-16 28-24  7-10 22-17  9-13 25-22  5-9 22-18  13x22 26x17  16-20 17-13 3-7 29-25  1-5 31-26  8-11 25-22  14-17 21x14  10x17 32-28 11-16 19-15  7-10 18-14  10x19 24x15  9x25 30x14  6-10 15x6 2x18 23x14  4-8 27-23  8-11 26-22  11-15 14-10  15-19 23-18 20-24 18-15  24-27 10-7  27-31 7-2  31-26 22-17  26-22 15-11 19-23 11-8  23-26 8-3  26-30 2-7  30-26 17-14  16-19 14-10  12-16 10-6  16-20 7-10  22-17 6-2  19-23 2-7  17-21 10-14  26-22 7-10 22-26 3-7  23-27 13-9  26-23 10-15  21-25 9-6  25-30   1/2-1/2 
GAME16	[Event "Game 17, 3-Move WCM"]	[Black "A. Moiseyev"]	[White "R. King"]	[Result "1/2-1/2"]	[Date "2005, 5/27"]	9-13 23-19  11-16 27-23  10-14 22-17  13x22 25x9  5x14 29-25  16-20 32-27  8-11 19-16  12x19 24x8  4x11 25-22  6-10 23-19  11-15 19-16 1-5 22-17  5-9 17-13  15-18 13x6  2x9 30-25  9-13 26-22 10-15 28-24  14-17 21x14  13-17 22x13  7-11 16x7  3x17 25-21 17-22 13-9  22-26 31x22  18x25 9-6  25-30 6-2  30-26 2-6  15-18 6-10  26-23   1/2-1/2 
GAME17	[Event "Game 18, 3-Move WCM"]	[Black "R. King"]	[White "A. Moiseyev"]	[Result "1/2-1/2"]	[Date "2005, 5/27"]	9-13 23-19  11-16 26-23  16-20 30-26  8-11 19-16 12x19 24x8  4x11 23-19  6-9 27-23  1-6 32-27  9-14 22-17  13x22 25x9  6x13 29-25  5-9 19-15  10x19 23x16  9-14 25-22  11-15 16-11 7x16 22-17  13x22 26x10   1/2-1/2 
GAME18	[Event "Game 19, 3-Move WCM"]	[Black "R. King"]	[White "A. Moiseyev"]	[Result "0-1"]	[Date "2005, 5/27"]	10-14 22-17  9-13 17x10  6x15 25-22 15-19 24x15  11x25 29x22  5-9 22-18  12-16 28-24  8-12 26-22  7-10 24-19  3-7 27-24  16-20 18-15  20x27 15x6  1x10 31x24  9-14 22-18 14-17 21x14  10x17 18-14  17-21 14-9  4-8 19-15  13-17 23-18 17-22 18-14  22-25 15-10  7-11 10-7  25-29 7-3  29-25 9-5 25-22 5-1  11-16 24-20  16-19 1-5  22-17 14-10  19-23 5-9  17-22 10-6  8-11 9-5  2x9 5x14  12-16 14-10  16-19 3-8  11-15 8-11 15-18 11-15   0-1 
GAME19	[Event "Game 20, 3-Move WCM"]	[Black "A. Moiseyev"]	[White "R. King"]	[Result "0-1"]	[Date "2005, 5/27"]	10-14 22-17  9-13 17x10  6x15 24-19  15x24 28x19 1-6 23-18  11-16 26-23  8-11 25-22  6-10 30-26  5-9 22-17  13x22 26x17  9-13 17-14  10x17 21x14  7-10 14x7  3x10 29-25  13-17 25-21  17-22 21-17  16-20 17-13  22-25 18-15  11x18 23x7  2x11 13-9  25-30 9-6  4-8 6-2  11-16 19-15  16-19 2-7  12-16 7-11 8-12 15-10  19-24 27-23  30-25 32-28  24-27 31x24  20x27 11x20 25-22 10-6  27-31 20-24   0-1 
